MJ文字図形名	対応するUCS	実装したUCS	実装したMoji_JohoコレクションIVS	実装したSVS	対応する互換漢字	X0213
MJ000001	U+3005	U+3005				1-01-25
MJ000002	U+3006	U+3006				1-01-26
MJ000003	U+303B	U+303B				1-02-22
MJ000004	U+3400	U+3400				
MJ000005	U+3401	U+3401				
MJ000006	U+3402	U+3402				1-14-03
MJ000007	U+3404		3404_E0101			
MJ000008	U+3404		3404_E0100			
MJ000009	U+3405	U+3405				
MJ000010	U+3406	U+3406				2-01-13
MJ000011	U+340C	U+340C				
MJ000012	U+2CF1C	U+2CF1C				
MJ000013	U+3416	U+3416				
MJ000015	U+341C	U+341C				
MJ000016	U+3421	U+3421				
MJ000017	U+3424	U+3424				
MJ000018	U+3427	U+3427				
MJ000020	U+3428	U+3428				
MJ000021	U+3429	U+3429				
MJ000022	U+342A	U+342A	342A_E0103			
MJ000023	U+342A		342A_E0101			
MJ000025	U+342C	U+342C	342C_E0101			2-01-18
MJ000026	U+342D	U+342D				
MJ000027	U+342E	U+342E	342E_E0101			2-01-19
MJ000028	U+342E		342E_E0102			2-01-19
MJ000029	U+342E		342E_E0103			2-01-19
MJ000030	U+342F	U+342F				
MJ000031	U+3430	U+3430				
MJ000032	U+3431	U+3431				
MJ000033	U+3432	U+3432				
MJ000034	U+3433	U+3433				
MJ000035	U+3434	U+3434				
MJ000036	U+3436	U+3436	3436_E0100			
MJ000037	U+3436		3436_E0101			
MJ000038	U+3438	U+3438				
MJ000039	U+3439	U+3439				
MJ000040	U+343A	U+343A				
MJ000041	U+343B	U+343B				
MJ000042	U+343C	U+343C				
MJ000045	U+3441		3441_E0100			
MJ000046	U+3441	U+3441	3441_E0101			
MJ000047	U+3442		3442_E0100			
MJ000048	U+3442	U+3442	3442_E0101			
MJ000049	U+3443	U+3443				
MJ000050	U+3444	U+3444				
MJ000051	U+3445	U+3445				
MJ000052	U+3446	U+3446				
MJ000053	U+3449	U+3449				
MJ000054	U+344A	U+344A				
MJ000055	U+344B	U+344B				
MJ000056	U+344C	U+344C				
MJ000057	U+344D	U+344D				
MJ000059	U+344E	U+344E				
MJ000060	U+3450	U+3450				
MJ000061	U+3451	U+3451				
MJ000062	U+3452	U+3452				
MJ000063	U+3453	U+3453				
MJ000064	U+3457	U+3457				
MJ000065	U+3458	U+3458				
MJ000066	U+3459	U+3459				
MJ000067	U+345A	U+345A				
MJ000068	U+345B	U+345B				
MJ000069	U+345C	U+345C				
MJ000070	U+345E	U+345E				
MJ000071	U+345F	U+345F				
MJ000072	U+3463	U+3463				
MJ000073	U+3464		3464_E0101			
MJ000074	U+3464	U+3464	3464_E0100			
MJ000075	U+3465	U+3465				
MJ000076	U+3466	U+3466				
MJ000077	U+3467	U+3467				
MJ000078	U+3468	U+3468				2-01-62
MJ000079	U+346A	U+346A				2-01-54
MJ000080	U+346E	U+346E				
MJ000081	U+346F	U+346F				
MJ000082	U+3471	U+3471				
MJ000083	U+3473	U+3473				
MJ000084	U+3474	U+3474				
MJ000085	U+3475	U+3475				
MJ000086	U+3476	U+3476				
MJ000087	U+3477	U+3477				
MJ000088	U+3478	U+3478				
MJ000089	U+3479	U+3479	3479_E0100			
MJ000090	U+347B	U+347B				
MJ000091	U+347C	U+347C				
